#: table_doi: 10.17182/hepdata.133152.v1/t121
#: name: Table 121
#: description: The dependence of the standard deviation of $v_2$ ($\sigma_{v_2}$)  on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_121.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,30-40%
PT [GeV/c],$\sigma_{v_2}$,Stat +,Stat -,Syst +,Syst -
0.25,0.012822,0.00012195,-0.00012195,0.00021811,-0.00021811
0.35,0.01752,6.9345e-05,-6.9345e-05,8.7404e-05,-8.7404e-05
0.45,0.021919,8.6328e-05,-8.6328e-05,6.8607e-05,-6.8607e-05
0.55,0.026137,0.00016409,-0.00016409,0.00014505,-0.00014505
0.65,0.030508,0.00011065,-0.00011065,0.00026042,-0.00026042
0.75,0.034,0.00017638,-0.00017638,0.0006382,-0.0006382
0.85,0.037604,0.00017198,-0.00017198,0.00043399,-0.00043399
0.95,0.040474,0.00020479,-0.00020479,0.00053408,-0.00053408
1.125,0.045829,0.00014075,-0.00014075,0.00075261,-0.00075261
1.375,0.053091,0.00018429,-0.00018429,0.00076038,-0.00076038
1.625,0.05901,0.00028872,-0.00028872,0.00095128,-0.00095128
1.875,0.06561,0.00039106,-0.00039106,0.00081656,-0.00081656
2.125,0.070946,0.00027026,-0.00027026,0.0015597,-0.0015597
2.375,0.077132,0.00046797,-0.00046797,0.0012772,-0.0012772
2.75,0.08291,0.00059396,-0.00059396,0.0013833,-0.0013833
3.25,0.087301,0.00063203,-0.00063203,0.0011021,-0.0011021
3.75,0.086683,0.0011105,-0.0011105,0.0010943,-0.0010943
4.5,0.078722,0.0013951,-0.0013951,0.00099378,-0.00099378
5.5,0.061754,0.0022906,-0.0022906,0.00077957,-0.00077957
7.0,0.048675,0.0032508,-0.0032508,0.00061446,-0.00061446
9.0,0.032661,0.0028283,-0.0028283,0.00041231,-0.00041231

