#: table_doi: 10.17182/hepdata.133152.v1/t137
#: name: Table 137
#: description: The relative elliptic flow fluctuations ($F(v_2)$) as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_137.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,10-20%
PT [GeV/c],$F(v_2)$,Stat +,Stat -,Syst +,Syst -
0.25,0.35892,0.0023165,-0.0023165,0.0073139,-0.0073139
0.35,0.35224,0.0018268,-0.0018268,0.0034868,-0.0034868
0.45,0.35356,0.0016035,-0.0016035,0.003027,-0.003027
0.55,0.35373,0.0014182,-0.0014182,0.0030529,-0.0030529
0.65,0.3495,0.001226,-0.001226,0.0039197,-0.0039197
0.75,0.35026,0.0011075,-0.0011075,0.0038724,-0.0038724
0.85,0.3443,0.0016536,-0.0016536,0.0043912,-0.0043912
0.95,0.34426,0.0016707,-0.0016707,0.0045829,-0.0045829
1.125,0.34438,0.00076581,-0.00076581,0.0047608,-0.0047608
1.375,0.34371,0.0011208,-0.0011208,0.0044155,-0.0044155
1.625,0.34399,0.0017245,-0.0017245,0.0036782,-0.0036782
1.875,0.34443,0.0013083,-0.0013083,0.0021254,-0.0021254
2.125,0.34471,0.0014978,-0.0014978,0.0020192,-0.0020192
2.375,0.3415,0.0019339,-0.0019339,0.0036779,-0.0036779
2.75,0.35131,0.0023833,-0.0023833,0.0015109,-0.0015109
3.25,0.35408,0.0017314,-0.0017314,0.0075578,-0.0075578
3.75,0.35696,0.0041794,-0.0041794,0.0076193,-0.0076193
4.5,0.36051,0.0023082,-0.0023082,0.0076951,-0.0076951
5.5,0.33255,0.010304,-0.010304,0.0070984,-0.0070984
7.0,0.32097,0.027149,-0.027149,0.0068511,-0.0068511
9.0,0.33699,0.049454,-0.049454,0.0071931,-0.0071931

