#: table_doi: 10.17182/hepdata.133152.v1/t177
#: name: Table 177
#: description: The ratio $v_2\{4\}/v_2\{2,|\Delta \eta| > 0.8\}$ as a function of $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_177.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],"$v_2\{\mathrm{4}\}/v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.25,0.88696,0.0020468,-0.0020468,0.0047387,-0.0047387
0.35,0.89424,0.0013547,-0.0013547,0.0029034,-0.0029034
0.45,0.89439,0.0009996,-0.0009996,0.0019138,-0.0019138
0.55,0.89809,0.00088394,-0.00088394,0.0016669,-0.0016669
0.65,0.8974,0.00099765,-0.00099765,0.0012425,-0.0012425
0.75,0.89967,0.00091316,-0.00091316,0.0018582,-0.0018582
0.85,0.89992,0.00078801,-0.00078801,0.00094474,-0.00094474
0.95,0.90174,0.001182,-0.001182,0.0012411,-0.0012411
1.125,0.90117,0.0004938,-0.0004938,0.00098961,-0.00098961
1.375,0.90082,0.00060743,-0.00060743,0.0014191,-0.0014191
1.625,0.90169,0.00080943,-0.00080943,0.0016525,-0.0016525
1.875,0.8998,0.0009396,-0.0009396,0.0021492,-0.0021492
2.125,0.89819,0.00070264,-0.00070264,0.0018815,-0.0018815
2.375,0.89721,0.0011536,-0.0011536,0.0019903,-0.0019903
2.75,0.8894,0.00061208,-0.00061208,0.0030331,-0.0030331
3.25,0.88261,0.0019095,-0.0019095,0.0037061,-0.0037061
3.75,0.87658,0.0019643,-0.0019643,0.0036808,-0.0036808
4.5,0.86965,0.0033129,-0.0033129,0.0036518,-0.0036518
5.5,0.88204,0.0057595,-0.0057595,0.0037038,-0.0037038
7.0,0.87618,0.015538,-0.015538,0.0036792,-0.0036792
9.0,0.9138,0.018167,-0.018167,0.0038371,-0.0038371

