#: table_doi: 10.17182/hepdata.133152.v1/t33
#: name: Table 33
#: description: The $p_{T}$-differential $v_2$ measured with two-particle correlations with a pseudorapidity gap of $|\Delta \eta| > 0.8$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_33.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,40-50%
PT [GeV/c],"$v_2\{\mathrm{2, |\Delta\eta|>0.8}\}$",Stat +,Stat -,Syst +,Syst -
0.8,0.0456,0.0022202,-0.0022202,0.00091516,-0.00091516
1.125,0.078877,0.0015203,-0.0015203,0.00061482,-0.00061482
1.375,0.11425,0.0015579,-0.0015579,0.0012564,-0.0012564
1.625,0.14799,0.0013939,-0.0013939,0.0008581,-0.0008581
1.875,0.18209,0.0010927,-0.0010927,0.00078279,-0.00078279
2.125,0.20954,0.0015323,-0.0015323,0.0018029,-0.0018029
2.375,0.23365,0.0017868,-0.0017868,0.0028533,-0.0028533
2.75,0.25785,0.0022811,-0.0022811,0.0022186,-0.0022186
3.25,0.27918,0.0025708,-0.0025708,0.0042365,-0.0042365
3.75,0.2916,0.0036699,-0.0036699,0.0047095,-0.0047095
4.5,0.28817,0.005187,-0.005187,0.0027187,-0.0027187
5.5,0.25492,0.014995,-0.014995,0.004815,-0.004815
8.0,0.18776,0.029802,-0.029802,0.0035465,-0.0035465

