#: table_doi: 10.17182/hepdata.133152.v1/t53
#: name: Table 53
#: description: The $p_{T}$-differential $v_2$ measured with four-particle correlations for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_53.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$v_2\{\mathrm{4}\}$,Stat +,Stat -,Syst +,Syst -
0.9,0.0028002,0.010257,-0.010257,0.0,-0.0
1.1,0.023903,0.0030041,-0.0030041,0.00014558,-0.00014558
1.3,0.036066,0.0029191,-0.0029191,0.00021966,-0.00021966
1.5,0.061935,0.0028475,-0.0028475,0.00037721,-0.00037721
1.7,0.079803,0.0027756,-0.0027756,0.0001501,-0.0001501
1.9,0.10158,0.0019724,-0.0019724,0.00019106,-0.00019106
2.125,0.12311,0.0013976,-0.0013976,0.00023156,-0.00023156
2.375,0.14601,0.0017996,-0.0017996,0.00090095,-0.00090095
2.625,0.16482,0.0024366,-0.0024366,0.001017,-0.001017
2.875,0.18435,0.0025764,-0.0025764,0.0011113,-0.0011113
3.25,0.20235,0.0020398,-0.0020398,0.0012198,-0.0012198
3.75,0.21615,0.0035642,-0.0035642,0.0011995,-0.0011995
4.5,0.21791,0.0032877,-0.0032877,0.0012093,-0.0012093
5.5,0.20805,0.011586,-0.011586,0.00068416,-0.00068416
8.0,0.18664,0.011303,-0.011303,0.00061375,-0.00061375

