#: table_doi: 10.17182/hepdata.133152.v1/t82
#: name: Table 82
#: description: The dependence of the mean value of $v_2$ ($\langle v_2 \rangle$) on $p_{T}$ for different particle species and centralities in Pb--Pb collisions at $\sqrt{s_{\mathrm{NN}}} = 5.02$ TeV.
#: data_file: table_82.yaml
#: keyword phrases: Anisotropic flow
#: keyword reactions: Pb Pb
#: SQRT(S_NN) [TeV],5.02
#: ABS(ETA),< 0.8
#: CENTRALITY,20-30%
PT [GeV/c],$\langle v_2 \rangle$,Stat +,Stat -,Syst +,Syst -
0.25,0.028427,3.542e-05,-3.542e-05,0.0010716,-0.0010716
0.35,0.042886,4.128e-05,-4.128e-05,0.00051265,-0.00051265
0.45,0.056021,3.9687e-05,-3.9687e-05,0.00046807,-0.00046807
0.55,0.068544,5.4033e-05,-5.4033e-05,0.0012165,-0.0012165
0.65,0.080532,4.1928e-05,-4.1928e-05,0.00076739,-0.00076739
0.75,0.09224,5.9404e-05,-5.9404e-05,0.00085032,-0.00085032
0.85,0.10281,0.00011711,-0.00011711,0.0010405,-0.0010405
0.95,0.11288,4.3139e-05,-4.3139e-05,0.0010429,-0.0010429
1.125,0.12832,8.7821e-05,-8.7821e-05,0.0011988,-0.0011988
1.375,0.14817,0.00015398,-0.00015398,0.0013559,-0.0013559
1.625,0.16402,0.00010131,-0.00010131,0.0015216,-0.0015216
1.875,0.17594,0.00018271,-0.00018271,0.0012432,-0.0012432
2.125,0.18423,0.0002761,-0.0002761,0.0013152,-0.0013152
2.375,0.18947,0.00032726,-0.00032726,0.0012104,-0.0012104
2.75,0.19195,0.00029014,-0.00029014,0.0015138,-0.0015138
3.25,0.18714,0.00056195,-0.00056195,0.0013082,-0.0013082
3.75,0.1757,0.00043804,-0.00043804,0.0012282,-0.0012282
4.5,0.15407,0.00079313,-0.00079313,0.001077,-0.001077
5.5,0.12524,0.0010754,-0.0010754,0.00087551,-0.00087551
7.0,0.099706,0.0021483,-0.0021483,0.00069699,-0.00069699
9.0,0.082841,0.0043062,-0.0043062,0.00057909,-0.00057909

