#: table_doi: 10.17182/hepdata.84717.v1/t103
#: name: Table 102
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Phi5060.yaml
#: keyword reactions: Pb Pb --> PHI
#: keyword observables: grV2Phi5060
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PHI
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,50-60%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PHI_v2_5060,stat +,stat -,sys +,sys -
1.05,0.9,1.2,0.0605829,0.0316506,-0.0316506,0.00484663,-0.00484663
1.35,1.2,1.5,0.144384,0.0176624,-0.0176624,0.0115507,-0.0115507
1.65,1.5,1.8,0.141818,0.0121367,-0.0121367,0.0113454,-0.0113454
1.9500000000000002,1.8,2.1,0.209308,0.0112595,-0.0112595,0.0167446,-0.0167446
2.25,2.1,2.4,0.232933,0.0112676,-0.0112676,0.0186346,-0.0186346
2.55,2.4,2.7,0.240887,0.0119635,-0.0119635,0.019271,-0.019271
2.85,2.7,3.0,0.238996,0.0134833,-0.0134833,0.0191197,-0.0191197
3.25,3.0,3.5,0.217747,0.0122775,-0.0122775,0.0174198,-0.0174198
3.75,3.5,4.0,0.192637,0.0157048,-0.0157048,0.015411,-0.015411

