#: table_doi: 10.17182/hepdata.84717.v1/t20
#: name: Table 19
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Pin_2.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV4Pin_2
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,10-20%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v4_1020,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0069171136,0.0003854196,-0.0003854196,0.0007287632,-0.0007287632
0.6499999999999999,0.6,0.7,0.010721089,0.0003981857,-0.0003981857,0.0011295369,-0.0011295369
0.75,0.7,0.8,0.0124835567,0.0004332174,-0.0004332174,0.0013152244,-0.0013152244
0.8500000000000001,0.8,0.9,0.0153998337,0.0004760056,-0.0004760056,0.0015088694,-0.0015088694
0.95,0.9,1.0,0.0195017875,0.0005288375,-0.0005288375,0.0019107772,-0.0019107772
1.125,1.0,1.25,0.0241328565,0.000403034,-0.000403034,0.0023645275,-0.0023645275
1.375,1.25,1.5,0.0344326495,0.0005337873,-0.0005337873,0.003373697,-0.003373697
1.625,1.5,1.75,0.0429460311,0.0007048422,-0.0007048422,0.0042078367,-0.0042078367
1.875,1.75,2.0,0.051913189,0.0009222848,-0.0009222848,0.0050891526,-0.0050891526
2.125,2.0,2.25,0.058065947,0.0012072527,-0.0012072527,0.0057188326,-0.0057188326
2.375,2.25,2.5,0.0609725949,0.0015622248,-0.0015622248,0.0060051042,-0.0060051042
2.625,2.5,2.75,0.0695104147,0.0019961797,-0.0019961797,0.006845982,-0.006845982
2.875,2.75,3.0,0.0684136104,0.0025223899,-0.0025223899,0.0067379593,-0.0067379593
3.125,3.0,3.25,0.0714963501,0.0031562909,-0.0031562909,0.0070415739,-0.0070415739
3.375,3.25,3.5,0.0741423232,0.0039058881,-0.0039058881,0.007302172,-0.007302172
3.625,3.5,3.75,0.0747677354,0.0047778849,-0.0047778849,0.007363768,-0.007363768
3.875,3.75,4.0,0.0739912473,0.00576633,-0.00576633,0.0072872928,-0.0072872928
4.25,4.0,4.5,0.0638779036,0.0068028399,-0.0068028399,0.0071560363,-0.0071560363
4.75,4.5,5.0,0.0505992523,0.0094309475,-0.0094309475,0.0056684717,-0.0056684717
5.5,5.0,6.0,0.0379103995,0.0099204197,-0.0099204197,0.0042469802,-0.0042469802

