#: table_doi: 10.17182/hepdata.84717.v1/t33
#: name: Table 32
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Kn_0ultra.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV3Kn_0ultra
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-1%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v3_01,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0045055319,0.0016842378,-0.0016842378,0.0005119426,-0.0005119426
0.6499999999999999,0.6,0.7,0.0042160995,0.0013688615,-0.0013688615,0.0004469054,-0.0004469054
0.75,0.7,0.8,0.010226058,0.0012597523,-0.0012597523,0.0009649255,-0.0009649255
0.8500000000000001,0.8,0.9,0.0139513064,0.0012228507,-0.0012228507,0.0011291667,-0.0011291667
0.95,0.9,1.0,0.0186569589,0.0012333023,-0.0012333023,0.0011703327,-0.0011703327
1.125,1.0,1.25,0.0229852362,0.0008352675,-0.0008352675,0.00113231,-0.00113231
1.375,1.25,1.5,0.0342397423,0.0009646588,-0.0009646588,0.0016985838,-0.0016985838
1.625,1.5,1.75,0.0429491001,0.0011414717,-0.0011414717,0.0020487462,-0.0020487462
1.875,1.75,2.0,0.0501413006,0.001371633,-0.001371633,0.0024005346,-0.0024005346
2.125,2.0,2.25,0.0603544064,0.0016908006,-0.0016908006,0.003005608,-0.003005608
2.375,2.25,2.5,0.0656875506,0.0021140815,-0.0021140815,0.0031338941,-0.0031338941
2.625,2.5,2.75,0.0697012523,0.0026452571,-0.0026452571,0.0034850626,-0.0034850626
2.875,2.75,3.0,0.0716169421,0.0033212632,-0.0033212632,0.0035808471,-0.0035808471
3.125,3.0,3.25,0.0761775982,0.0041676433,-0.0041676433,0.0038088799,-0.0038088799
3.375,3.25,3.5,0.0727889172,0.005206349,-0.005206349,0.0036394459,-0.0036394459
3.625,3.5,3.75,0.0834780926,0.0064561121,-0.0064561121,0.0041739046,-0.0041739046
3.875,3.75,4.0,0.0818005313,0.0079595343,-0.0079595343,0.0040900266,-0.0040900266

