#: table_doi: 10.17182/hepdata.84717.v1/t41
#: name: Table 40
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV4Kn_0.yaml
#: keyword reactions: Pb Pb --> CH_KAONS
#: keyword observables: grV4Kn_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_KAONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_KAONS_v4_05,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0053917049,0.0018649835,-0.0018649835,0.0007543571,-0.0007543571
0.6499999999999999,0.6,0.7,0.0020764434,0.0015213087,-0.0015213087,0.0002905166,-0.0002905166
0.75,0.7,0.8,0.0020610815,0.0014076437,-0.0014076437,0.0002883673,-0.0002883673
0.8500000000000001,0.8,0.9,0.0042649164,0.0013715457,-0.0013715457,0.0005967074,-0.0005967074
0.95,0.9,1.0,0.0061492652,0.0013841269,-0.0013841269,0.0008603479,-0.0008603479
1.125,1.0,1.25,0.0138174141,0.0009379569,-0.0009379569,0.0019332039,-0.0019332039
1.375,1.25,1.5,0.0187031513,0.0010836786,-0.0010836786,0.0026167708,-0.0026167708
1.625,1.5,1.75,0.0294076562,0.001285607,-0.001285607,0.0029517793,-0.0029517793
1.875,1.75,2.0,0.0341743421,0.0015458423,-0.0015458423,0.0034357293,-0.0034357293
2.125,2.0,2.25,0.0401003913,0.0019101912,-0.0019101912,0.0040449746,-0.0040449746
2.375,2.25,2.5,0.0487879263,0.0023856592,-0.0023856592,0.0049212967,-0.0049212967
2.625,2.5,2.75,0.0572181261,0.0029832837,-0.0029832837,0.0057716611,-0.0057716611
2.875,2.75,3.0,0.0595622647,0.003736973,-0.003736973,0.0060081171,-0.0060081171
3.125,3.0,3.25,0.0630382183,0.0046832977,-0.0046832977,0.0063587408,-0.0063587408
3.375,3.25,3.5,0.0656297367,0.0058494258,-0.0058494258,0.0066201503,-0.0066201503
3.625,3.5,3.75,0.0633149889,0.0072393057,-0.0072393057,0.0063866589,-0.0063866589
3.875,3.75,4.0,0.0716305897,0.0088717088,-0.0088717088,0.0072254636,-0.0072254636

