#: table_doi: 10.17182/hepdata.84717.v1/t47
#: name: Table 46
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pn_0ultra.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV2Pn_0ultra
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-1%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v2_01,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0056282395,0.0029981466,-0.0029981466,0.0007582252,-0.0007582252
0.8500000000000001,0.8,0.9,0.0078028781,0.0027508192,-0.0027508192,0.0010575774,-0.0010575774
0.95,0.9,1.0,0.0033736279,0.0026189874,-0.0026189874,0.000458863,-0.000458863
1.125,1.0,1.25,0.0104890614,0.0015841591,-0.0015841591,0.0007953724,-0.0007953724
1.375,1.25,1.5,0.0166485282,0.0015935702,-0.0015935702,0.0012624371,-0.0012624371
1.625,1.5,1.75,0.0215094541,0.0017041528,-0.0017041528,0.0016310351,-0.0016310351
1.875,1.75,2.0,0.032105413,0.0018768759,-0.0018768759,0.0024345145,-0.0024345145
2.125,2.0,2.25,0.0377974393,0.0014611935,-0.0014611935,0.0029216725,-0.0029216725
2.375,2.25,2.5,0.0414524247,0.0017109653,-0.0017109653,0.0032042157,-0.0032042157
2.625,2.5,2.75,0.0460468839,0.0020397222,-0.0020397222,0.0035593947,-0.0035593947
2.875,2.75,3.0,0.0536923039,0.0024623853,-0.0024623853,0.0041505846,-0.0041505846
3.125,3.0,3.25,0.0543803357,0.003023583,-0.003023583,0.00420402,-0.00420402
3.375,3.25,3.5,0.0560062239,0.0037383964,-0.0037383964,0.0043382236,-0.0043382236
3.625,3.5,3.75,0.0580876176,0.0046700492,-0.0046700492,0.0044934285,-0.0044934285
3.875,3.75,4.0,0.0496490275,0.0058023118,-0.0058023118,0.0038457972,-0.0038457972
4.25,4.0,4.5,0.0542309646,0.0068527602,-0.0068527602,0.0048125207,-0.0048125207
4.75,4.5,5.0,0.0453036843,0.0098375956,-0.0098375956,0.0040203032,-0.0040203032
5.5,5.0,6.0,0.0533470078,0.0110110153,-0.0110110153,0.0047340774,-0.0047340774
6.5,6.0,7.0,0.0037181871,0.0193982344,-0.0193982344,0.0003299564,-0.0003299564
8.0,7.0,9.0,0.0251809521,0.025036054,-0.025036054,0.0022345878,-0.0022345878
10.5,9.0,12.0,0.0110689112,0.0409486323,-0.0409486323,0.0009822684,-0.0009822684
14.0,12.0,16.0,-0.1767085538,0.0687021384,-0.0687021384,0.0156813287,-0.0156813287

