#: table_doi: 10.17182/hepdata.84717.v1/t52
#: name: Table 51
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV2Pn_4.yaml
#: keyword reactions: Pb Pb --> PROTONS
#: keyword observables: grV2Pn_4
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> PROTONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,30-40%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,PROTONS_v2_3040,stat +,stat -,sys +,sys -
0.75,0.7,0.8,0.0247330063,0.0007643858,-0.0007643858,0.0015707457,-0.0015707457
0.8500000000000001,0.8,0.9,0.0356034974,0.0007067514,-0.0007067514,0.002235042,-0.002235042
0.95,0.9,1.0,0.0447927337,0.0006832038,-0.0006832038,0.0014183845,-0.0014183845
1.125,1.0,1.25,0.0653588222,0.000429015,-0.000429015,0.0024420561,-0.0024420561
1.375,1.25,1.5,0.1008764749,0.000457105,-0.000457105,0.0031196312,-0.0031196312
1.625,1.5,1.75,0.1364942335,0.0005122961,-0.0005122961,0.0032116542,-0.0032116542
1.875,1.75,2.0,0.1724850621,0.0005848788,-0.0005848788,0.0038340872,-0.0038340872
2.125,2.0,2.25,0.2038402235,0.0004687829,-0.0004687829,0.0043397845,-0.0043397845
2.375,2.25,2.5,0.2311158126,0.0005600593,-0.0005600593,0.0048803212,-0.0048803212
2.625,2.5,2.75,0.2516794995,0.0006729391,-0.0006729391,0.0047659383,-0.0047659383
2.875,2.75,3.0,0.2663732863,0.0008124732,-0.0008124732,0.0045050375,-0.0045050375
3.125,3.0,3.25,0.2785616412,0.0009895209,-0.0009895209,0.0049909571,-0.0049909571
3.375,3.25,3.5,0.2852874872,0.0012078128,-0.0012078128,0.0074883463,-0.0074883463
3.625,3.5,3.75,0.286973886,0.0014782164,-0.0014782164,0.0065224033,-0.0065224033
3.875,3.75,4.0,0.2873005728,0.0018088795,-0.0018088795,0.01083843,-0.01083843
4.25,4.0,4.5,0.2929164306,0.0027263635,-0.0027263635,0.017513855,-0.017513855
4.75,4.5,5.0,0.2854257159,0.0035859644,-0.0035859644,0.0170659754,-0.0170659754
5.5,5.0,6.0,0.2572351192,0.0037364757,-0.0037364757,0.0153804229,-0.0153804229
6.5,6.0,7.0,0.2215252553,0.0062062548,-0.0062062548,0.0132452836,-0.0132452836
8.0,7.0,9.0,0.1591702538,0.0075712898,-0.0075712898,0.0095169968,-0.0095169968
10.5,9.0,12.0,0.1088719809,0.0126016231,-0.0126016231,0.0065095976,-0.0065095976
14.0,12.0,16.0,0.1042393558,0.023359954,-0.023359954,0.0062326069,-0.0062326069

