#: table_doi: 10.17182/hepdata.84717.v1/t78
#: name: Table 77
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3K0_0.yaml
#: keyword reactions: Pb Pb --> K0S
#: keyword observables: grV3K0_0
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> K0S
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-5%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,K0S_v3_05,stat +,stat -,sys +,sys -
0.65,0.5,0.8,0.00618233,0.00160889,-0.00160889,0.001519616,-0.001519616
0.9500000000000001,0.8,1.1,0.0170962,0.000928055,-0.000928055,0.002496741,-0.002496741
1.25,1.1,1.4,0.0285935,0.000856303,-0.000856303,0.002866443,-0.002866443
1.5499999999999998,1.4,1.7,0.0419626,0.00103884,-0.00103884,0.001199899,-0.001199899
1.85,1.7,2.0,0.0528183,0.00136238,-0.00136238,0.004563796,-0.004563796
2.25,2.0,2.5,0.0633862,0.00157609,-0.00157609,0.003987923,-0.003987923
2.75,2.5,3.0,0.0694323,0.00253463,-0.00253463,0.006937619,-0.006937619
3.25,3.0,3.5,0.0750291,0.00399515,-0.00399515,0.004403516,-0.004403516
3.75,3.5,4.0,0.0853406,0.00614888,-0.00614888,0.005008706,-0.005008706
4.5,4.0,5.0,0.0570357,0.00728136,-0.00728136,0.00334747,-0.00334747
5.5,5.0,6.0,0.0400982,0.0128991,-0.0128991,0.002353395,-0.002353395
7.0,6.0,8.0,0.020561,0.0163936,-0.0163936,0.001206741,-0.001206741
9.0,8.0,10.0,0.0128124,0.0335007,-0.0335007,0.0007519697,-0.0007519697

