#: table_doi: 10.17182/hepdata.84717.v1/t10
#: name: Table 9
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3Pin_0ultra.yaml
#: keyword reactions: Pb Pb --> CH_PIONS
#: keyword observables: grV3Pin_0ultra
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> CH_PIONS
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,0-1%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,CH_PIONS_v3_01,stat +,stat -,sys +,sys -
0.55,0.5,0.6,0.0129125302,0.0004036081,-0.0004036081,0.0013981614,-0.0013981614
0.6499999999999999,0.6,0.7,0.0173013027,0.0004106556,-0.0004106556,0.0016000356,-0.0016000356
0.75,0.7,0.8,0.0208535389,0.0004426283,-0.0004426283,0.0016524415,-0.0016524415
0.8500000000000001,0.8,0.9,0.0234563172,0.0004843823,-0.0004843823,0.0015852589,-0.0015852589
0.95,0.9,1.0,0.0282131765,0.0005373927,-0.0005373927,0.0018863904,-0.0018863904
1.125,1.0,1.25,0.0333233733,0.000409701,-0.000409701,0.0022087227,-0.0022087227
1.375,1.25,1.5,0.0414295703,0.0005407198,-0.0005407198,0.0027246046,-0.0027246046
1.625,1.5,1.75,0.0513221813,0.0007127104,-0.0007127104,0.002207454,-0.002207454
1.875,1.75,2.0,0.0576619461,0.0009359699,-0.0009359699,0.0024847338,-0.0024847338
2.125,2.0,2.25,0.0657486843,0.0012317461,-0.0012317461,0.0029033831,-0.0029033831
2.375,2.25,2.5,0.0680216441,0.0016057191,-0.0016057191,0.0030037543,-0.0030037543
2.625,2.5,2.75,0.0773467978,0.0020742096,-0.0020742096,0.0034155419,-0.0034155419
2.875,2.75,3.0,0.0764619963,0.0026554729,-0.0026554729,0.0033764702,-0.0033764702
3.125,3.0,3.25,0.0744124256,0.003374288,-0.003374288,0.0032859636,-0.0032859636
3.375,3.25,3.5,0.0714587876,0.0042466131,-0.0042466131,0.0031555345,-0.0031555345
3.625,3.5,3.75,0.0738534582,0.0052694669,-0.0052694669,0.0032612802,-0.0032612802
3.875,3.75,4.0,0.0837001183,0.0064754636,-0.0064754636,0.003696097,-0.003696097
4.25,4.0,4.5,0.0677713668,0.007955879,-0.007955879,0.0056498726,-0.0056498726
4.75,4.5,5.0,0.0496629199,0.0112564281,-0.0112564281,0.0041402318,-0.0041402318
5.5,5.0,6.0,0.0341519612,0.0120147763,-0.0120147763,0.002847135,-0.002847135
6.5,6.0,7.0,0.0248040769,0.0189972724,-0.0189972724,0.0020678331,-0.0020678331
8.0,7.0,9.0,-0.0182242229,0.0220174812,-0.0220174812,0.0015192926,-0.0015192926
10.5,9.0,12.0,0.0577623991,0.033733441,-0.033733441,0.0048154583,-0.0048154583

