#: table_doi: 10.17182/hepdata.84717.v1/t95
#: name: Table 94
#: description: anisotropic flow as a function of transverse momentum for Pb-Pb collisions at sqNN =  5.02 TeV.
#: data_file: grV3L_3.yaml
#: keyword reactions: Pb Pb --> LAMBDA
#: keyword observables: grV3L_3
#: keyword cmenergies: 5020.0
#: keyword phrases: Anisotropic Flow
#: RE,,,Pb Pb --> LAMBDA
#: SQRT(S) [GEV],,,5020
#: ABS(Y),,,< 0.5 (LAB)
#: CENTRALITY,,,20-30%
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,LAMBDA_v3_2030,stat +,stat -,sys +,sys -
0.9500000000000001,0.8,1.1,0.00707811,0.00290761,-0.00290761,0.003418376,-0.003418376
1.25,1.1,1.4,0.0187519,0.00181153,-0.00181153,0.003458783,-0.003458783
1.5499999999999998,1.4,1.7,0.0352233,0.00153822,-0.00153822,0.008222417,-0.008222417
1.85,1.7,2.0,0.0516812,0.00153183,-0.00153183,0.00354221,-0.00354221
2.25,2.0,2.5,0.0780834,0.00134512,-0.00134512,0.002129954,-0.002129954
2.75,2.5,3.0,0.104878,0.00178891,-0.00178891,0.002588779,-0.002588779
3.25,3.0,3.5,0.127102,0.00260758,-0.00260758,0.009350956,-0.009350956
3.75,3.5,4.0,0.142365,0.00396028,-0.00396028,0.01047386,-0.01047386
4.5,4.0,5.0,0.148046,0.00512575,-0.00512575,0.01089182,-0.01089182
5.5,5.0,6.0,0.139336,0.011732,-0.011732,0.01025102,-0.01025102
7.0,6.0,8.0,0.0998674,0.0217131,-0.0217131,0.007347293,-0.007347293
9.0,8.0,10.0,0.0900209,0.0637356,-0.0637356,0.006622882,-0.006622882

