#: table_doi: 10.17182/hepdata.104923.v1/t10
#: name: Table 10
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in pp collisions at $\sqrt{s}$ = 5.02 TeV.
#: data_file: table_10.yaml
#: keyword reactions: P P --> P X | P P --> PBAR X | P P --> PI+ X | P P --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: RE(P + PBAR),,,P P --> P X, P P --> PBAR X
#: RE(PI+ + PI-),,,P P --> PI+ X, P P --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.032347,0.00011448,-0.00011448,0.0021609,-0.0021609
0.375,0.35,0.4,0.039526,0.00011529,-0.00011529,0.0022735,-0.0022735
0.42500000000000004,0.4,0.45,0.049146,0.00012476,-0.00012476,0.0025683,-0.0025683
0.475,0.45,0.5,0.056641,0.00017787,-0.00017787,0.0024729,-0.0024729
0.525,0.5,0.55,0.066272,0.00054112,-0.00054112,0.003006,-0.003006
0.575,0.55,0.6,0.075701,0.00057189,-0.00057189,0.0030575,-0.0030575
0.625,0.6,0.65,0.08542,0.00074293,-0.00074293,0.0034023,-0.0034023
0.675,0.65,0.7,0.094048,0.00045854,-0.00045854,0.0056291,-0.0056291
0.725,0.7,0.75,0.10023,0.00048626,-0.00048626,0.0044114,-0.0044114
0.775,0.75,0.8,0.11266,0.00056926,-0.00056926,0.0044849,-0.0044849
0.825,0.8,0.85,0.12064,0.00029672,-0.00029672,0.018087,-0.018087
0.875,0.85,0.9,0.13377,0.00035141,-0.00035141,0.020397,-0.020397
0.925,0.9,0.95,0.1402,0.00035276,-0.00035276,0.021176,-0.021176
0.975,0.95,1.0,0.15412,0.00044497,-0.00044497,0.0039257,-0.0039257
1.05,1.0,1.1,0.16497,0.00036328,-0.00036328,0.019583,-0.019583
1.15,1.1,1.2,0.18086,0.00043669,-0.00043669,0.0058505,-0.0058505
1.25,1.2,1.3,0.1958,0.00052643,-0.00052643,0.0065783,-0.0065783
1.35,1.3,1.4,0.20739,0.00061415,-0.00061415,0.0067241,-0.0067241
1.45,1.4,1.5,0.21808,0.00070556,-0.00070556,0.0069821,-0.0069821
1.55,1.5,1.6,0.22301,0.0013594,-0.0013594,0.0060037,-0.0060037
1.65,1.6,1.7,0.23216,0.0015267,-0.0015267,0.0065174,-0.0065174
1.75,1.7,1.8,0.24051,0.0015628,-0.0015628,0.0061674,-0.0061674
1.85,1.8,1.9,0.24657,0.0017254,-0.0017254,0.0063847,-0.0063847
1.95,1.9,2.0,0.24992,0.0017538,-0.0017538,0.0059176,-0.0059176
2.1,2.0,2.2,0.25216,0.0018404,-0.0018404,0.0058156,-0.0058156
2.3,2.2,2.4,0.25965,0.0024567,-0.0024567,0.0066348,-0.0066348
2.5,2.4,2.6,0.25965,0.0028696,-0.0028696,0.0065754,-0.0065754
2.7,2.6,2.8,0.26362,0.0036958,-0.0036958,0.0071855,-0.0071855
2.9,2.8,3.0,0.26841,0.0046895,-0.0046895,0.007793,-0.007793
3.1,3.0,3.2,0.26086,0.0065493,-0.0065493,0.01198,-0.01198
3.3,3.2,3.4,0.25731,0.0069634,-0.0069634,0.014955,-0.014955
3.5,3.4,3.6,0.251,0.007514,-0.007514,0.016692,-0.016692
3.7,3.6,3.8,0.24936,0.007786,-0.007786,0.020077,-0.020077
3.9,3.8,4.0,0.24192,0.0077451,-0.0077451,0.02068,-0.02068
4.25,4.0,4.5,0.23241,0.0031106,-0.0031106,0.025996,-0.025996
4.75,4.5,5.0,0.21914,0.003881,-0.003881,0.025162,-0.025162
5.25,5.0,5.5,0.20121,0.0046175,-0.0046175,0.020213,-0.020213
5.75,5.5,6.0,0.18458,0.005454,-0.005454,0.020683,-0.020683
6.25,6.0,6.5,0.17333,0.0061743,-0.0061743,0.019348,-0.019348
6.75,6.5,7.0,0.16769,0.0073123,-0.0073123,0.018703,-0.018703
7.5,7.0,8.0,0.15514,0.0067331,-0.0067331,0.01772,-0.01772
8.5,8.0,9.0,0.13484,0.0081749,-0.0081749,0.020365,-0.020365
9.5,9.0,10.0,0.13014,0.010677,-0.010677,0.019656,-0.019656
10.5,10.0,11.0,0.13828,0.014226,-0.014226,0.020885,-0.020885
11.5,11.0,12.0,0.11608,0.016085,-0.016085,0.017531,-0.017531
12.5,12.0,13.0,0.09572,0.017342,-0.017342,0.014457,-0.014457
13.5,13.0,14.0,0.082639,0.018155,-0.018155,0.012481,-0.012481
14.5,14.0,15.0,0.090926,0.026927,-0.026927,0.013733,-0.013733
15.5,15.0,16.0,0.13059,0.036873,-0.036873,0.019724,-0.019724
17.0,16.0,18.0,0.11174,0.030073,-0.030073,0.016877,-0.016877
19.0,18.0,20.0,0.074725,0.031162,-0.031162,0.011286,-0.011286

