#: table_doi: 10.17182/hepdata.104923.v1/t13
#: name: Table 13
#: description: Integrated yield ratios of protons ($p+pbar$) to pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_13.yaml
#: keyword reactions: PB PB --> CHARGED X | PB PB --> P X | PB PB --> PBAR X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: DN/DPT
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
Cent [ptc.],$N_{Ch}$,syst. +,syst. -
0.0-5.0,1943.0,56.0,-56.0
5.0-10.0,1587.0,48.0,-48.0
10.0-20.0,1180.0,31.0,-31.0
20.0-30.0,786.0,20.0,-20.0
30.0-40.0,512.0,15.0,-15.0
40.0-50.0,318.0,12.0,-12.0
50.0-60.0,183.0,8.0,-8.0
60.0-70.0,96.3,5.8,-5.8
70.0-80.0,44.9,3.4,-3.4
80.0-90.0,17.52,1.84,-1.84

#: RE(P + PBAR),PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),PB PB --> PI+ X, PB PB --> PI- X
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],5020.0
#: YRAP,-0.5-0.5
Cent [ptc.],$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.0-5.0,0.043867,4.4294e-05,-4.4294e-05,0.0037362,-0.0037362,0.0016155,-0.0016155
5.0-10.0,0.044655,5.6497e-05,-5.6497e-05,0.0030403,-0.0030403,0.0012841,-0.0012841
10.0-20.0,0.045599,4.7035e-05,-4.7035e-05,0.002969,-0.002969,0.0012567,-0.0012567
20.0-30.0,0.046526,5.7848e-05,-5.7848e-05,0.0031585,-0.0031585,0.0013247,-0.0013247
30.0-40.0,0.04813,6.9722e-05,-6.9722e-05,0.0032713,-0.0032713,0.0013593,-0.0013593
40.0-50.0,0.049358,9.0077e-05,-9.0077e-05,0.0034974,-0.0034974,0.0013832,-0.0013832
50.0-60.0,0.050913,0.00012404,-0.00012404,0.003722,-0.003722,0.0016472,-0.0016472
60.0-70.0,0.053376,0.00017954,-0.00017954,0.0043514,-0.0043514,0.0017668,-0.0017668
70.0-80.0,0.055235,0.0002867,-0.0002867,0.0046341,-0.0046341,0.0024085,-0.0024085
80.0-90.0,0.056176,0.00049582,-0.00049582,0.00479,-0.00479,0.0030806,-0.0030806

