#: table_doi: 10.17182/hepdata.104923.v1/t15
#: name: Table 15
#: description: $p_{T}$-dependent nuclear modification factor of pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_15.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X | P P --> PI+ X | P P --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0-5
#: RE (PBPB),,,PB PB --> PI+ X, PB PB --> PI- X
#: RE (PP),,,P P --> PI+ X, P P --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,RAA,stat. +,stat. -,syst. +,syst. -
0.11,0.1,0.12,0.16154,0.00087461,-0.00087461,0.015484,-0.015484
0.13,0.12,0.14,0.16233,0.00075349,-0.00075349,0.010557,-0.010557
0.15000000000000002,0.14,0.16,0.16461,0.00073063,-0.00073063,0.010121,-0.010121
0.16999999999999998,0.16,0.18,0.16779,0.00072466,-0.00072466,0.010036,-0.010036
0.19,0.18,0.2,0.17194,0.00072977,-0.00072977,0.010156,-0.010156
0.225,0.2,0.25,0.179,0.00067206,-0.00067206,0.010923,-0.010923
0.275,0.25,0.3,0.19022,0.00071269,-0.00071269,0.012075,-0.012075
0.32499999999999996,0.3,0.35,0.21362,0.00029097,-0.00029097,0.0073156,-0.0073156
0.375,0.35,0.4,0.22907,0.00028692,-0.00028692,0.0079099,-0.0079099
0.42500000000000004,0.4,0.45,0.24353,0.0003185,-0.0003185,0.0087395,-0.0087395
0.475,0.45,0.5,0.25824,0.00034913,-0.00034913,0.009509,-0.009509
0.525,0.5,0.55,0.26673,0.00032102,-0.00032102,0.0078182,-0.0078182
0.575,0.55,0.6,0.27671,0.00037301,-0.00037301,0.0082497,-0.0082497
0.625,0.6,0.65,0.28556,0.00044739,-0.00044739,0.0093428,-0.0093428
0.675,0.65,0.7,0.29839,0.00047821,-0.00047821,0.01026,-0.01026
0.725,0.7,0.75,0.31392,0.00041672,-0.00041672,0.012689,-0.012689
0.775,0.75,0.8,0.32833,0.00045863,-0.00045863,0.013695,-0.013695
0.825,0.8,0.85,0.34043,0.00047981,-0.00047981,0.013948,-0.013948
0.875,0.85,0.9,0.35262,0.00054264,-0.00054264,0.014256,-0.014256
