#: table_doi: 10.17182/hepdata.104923.v1/t16
#: name: Table 16
#: description: $p_{T}$-dependent nuclear modification factor of kaons ($K^{+}+K^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_16.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X | P P --> K+ X | P P --> K- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0-5
#: RE (PBPB),,,PB PB --> K+ X, PB PB --> K- X
#: RE (PP),,,P P --> K+ X, P P --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,RAA,stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,0.16313,0.0011337,-0.0011337,0.01189,-0.01189
0.275,0.25,0.3,0.17091,0.00068512,-0.00068512,0.0099378,-0.0099378
0.32499999999999996,0.3,0.35,0.1797,0.00066142,-0.00066142,0.0078652,-0.0078652
0.375,0.35,0.4,0.1904,0.00089488,-0.00089488,0.010043,-0.010043
0.42500000000000004,0.4,0.45,0.20632,0.00094386,-0.00094386,0.01102,-0.01102
0.475,0.45,0.5,0.22552,0.0034929,-0.0034929,0.010668,-0.010668
0.525,0.5,0.55,0.24973,0.0045632,-0.0045632,0.013888,-0.013888
0.575,0.55,0.6,0.26311,0.0065364,-0.0065364,0.016944,-0.016944
0.625,0.6,0.65,0.27936,0.011966,-0.011966,0.022327,-0.022327
0.675,0.65,0.7,0.29112,0.0025357,-0.0025357,0.012065,-0.012065
0.725,0.7,0.75,0.31431,0.0026195,-0.0026195,0.012938,-0.012938
0.775,0.75,0.8,0.3383,0.002789,-0.002789,0.01371,-0.01371
0.825,0.8,0.85,0.35921,0.0030257,-0.0030257,0.014685,-0.014685
0.875,0.85,0.9,0.38005,0.0032744,-0.0032744,0.015587,-0.015587
0.925,0.9,0.95,0.39742,0.0035853,-0.0035853,0.016359,-0.016359
0.975,0.95,1.0,0.41873,0.0039034,-0.0039034,0.016975,-0.016975
1.05,1.0,1.1,0.43975,0.0033612,-0.0033612,0.017758,-0.017758
1.15,1.1,1.2,0.46333,0.0037675,-0.0037675,0.019103,-0.019103
1.25,1.2,1.3,0.48289,0.0044379,-0.0044379,0.020967,-0.020967
1.35,1.3,1.4,0.49443,0.0048893,-0.0048893,0.021566,-0.021566
1.45,1.4,1.5,0.50469,0.00521,-0.00521,0.021565,-0.021565
1.55,1.5,1.6,0.50609,0.0056128,-0.0056128,0.021307,-0.021307
1.65,1.6,1.7,0.50661,0.0061059,-0.0061059,0.021068,-0.021068
1.75,1.7,1.8,0.50332,0.0066805,-0.0066805,0.019886,-0.019886
1.85,1.8,1.9,0.48793,0.0089699,-0.0089699,0.023036,-0.023036
1.95,1.9,2.0,0.48453,0.011384,-0.011384,0.025938,-0.025938
2.1,2.0,2.2,0.47512,0.011929,-0.011929,0.028836,-0.028836
2.3,2.2,2.4,0.44263,0.014336,-0.014336,0.029354,-0.029354
2.5,2.4,2.6,0.42438,0.014774,-0.014774,0.027066,-0.027066
2.7,2.6,2.8,0.39287,0.014782,-0.014782,0.024691,-0.024691
2.9,2.8,3.0,0.36131,0.016452,-0.016452,0.024413,-0.024413
3.1,3.0,3.2,0.34553,0.013075,-0.013075,0.026721,-0.026721
3.3,3.2,3.4,0.30557,0.011578,-0.011578,0.024669,-0.024669
3.5,3.4,3.6,0.27445,0.010866,-0.010866,0.024806,-0.024806
3.7,3.6,3.8,0.24838,0.0099606,-0.0099606,0.023428,-0.023428
3.9,3.8,4.0,0.22692,0.0087504,-0.0087504,0.022396,-0.022396
4.25,4.0,4.5,0.18987,0.0066351,-0.0066351,0.019851,-0.019851
4.75,4.5,5.0,0.15163,0.0044138,-0.0044138,0.015067,-0.015067
5.25,5.0,5.5,0.13244,0.0035068,-0.0035068,0.012256,-0.012256
5.75,5.5,6.0,0.12464,0.0033281,-0.0033281,0.010826,-0.010826
6.25,6.0,6.5,0.12477,0.0035834,-0.0035834,0.012408,-0.012408
6.75,6.5,7.0,0.12505,0.0040134,-0.0040134,0.012233,-0.012233
7.5,7.0,8.0,0.13529,0.0036348,-0.0036348,0.013584,-0.013584
8.5,8.0,9.0,0.14313,0.0052944,-0.0052944,0.017303,-0.017303
9.5,9.0,10.0,0.16112,0.0077889,-0.0077889,0.019554,-0.019554
10.5,10.0,11.0,0.17422,0.010498,-0.010498,0.021429,-0.021429
11.5,11.0,12.0,0.17566,0.013125,-0.013125,0.021714,-0.021714
12.5,12.0,13.0,0.19102,0.019047,-0.019047,0.023767,-0.023767
13.5,13.0,14.0,0.21041,0.026699,-0.026699,0.02635,-0.02635
14.5,14.0,15.0,0.21793,0.032254,-0.032254,0.027483,-0.027483
15.5,15.0,16.0,0.23582,0.03753,-0.03753,0.029966,-0.029966
17.0,16.0,18.0,0.22858,0.034027,-0.034027,0.029444,-0.029444
19.0,18.0,20.0,0.24935,0.055544,-0.055544,0.032676,-0.032676

#: CENTRALITY [pct],,,5-10
#: RE (PBPB),,,PB PB --> K+ X, PB PB --> K- X
#: RE (PP),,,P P --> K+ X, P P --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,RAA,stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,0.16826,0.0014507,-0.0014507,0.012548,-0.012548
0.275,0.25,0.3,0.18102,0.00088734,-0.00088734,0.010589,-0.010589
0.32499999999999996,0.3,0.35,0.18823,0.00077527,-0.00077527,0.0080575,-0.0080575
0.375,0.35,0.4,0.19967,0.0010036,-0.0010036,0.01081,-0.01081
0.42500000000000004,0.4,0.45,0.21605,0.0010433,-0.0010433,0.011928,-0.011928
0.475,0.45,0.5,0.23031,0.0043452,-0.0043452,0.010905,-0.010905
0.525,0.5,0.55,0.25266,0.0059016,-0.0059016,0.013841,-0.013841
0.575,0.55,0.6,0.2657,0.007734,-0.007734,0.017288,-0.017288
0.625,0.6,0.65,0.28456,0.013039,-0.013039,0.022682,-0.022682
0.675,0.65,0.7,0.30341,0.0036116,-0.0036116,0.012528,-0.012528
0.725,0.7,0.75,0.3249,0.0039257,-0.0039257,0.013315,-0.013315
0.775,0.75,0.8,0.34932,0.0044118,-0.0044118,0.014049,-0.014049
0.825,0.8,0.85,0.37195,0.0048331,-0.0048331,0.015122,-0.015122
0.875,0.85,0.9,0.39301,0.0052464,-0.0052464,0.015993,-0.015993
0.925,0.9,0.95,0.4113,0.0058505,-0.0058505,0.016873,-0.016873
0.975,0.95,1.0,0.43123,0.0064402,-0.0064402,0.017398,-0.017398
1.05,1.0,1.1,0.45793,0.0054382,-0.0054382,0.018372,-0.018372
1.15,1.1,1.2,0.48178,0.0063536,-0.0063536,0.019744,-0.019744
1.25,1.2,1.3,0.50093,0.0074808,-0.0074808,0.021664,-0.021664
1.35,1.3,1.4,0.5125,0.0086251,-0.0086251,0.022244,-0.022244
1.45,1.4,1.5,0.52236,0.0094146,-0.0094146,0.022214,-0.022214
1.55,1.5,1.6,0.5242,0.0097682,-0.0097682,0.02178,-0.02178
