#: table_doi: 10.17182/hepdata.104923.v1/t17
#: name: Table 17
#: description: $p_{T}$-dependent nuclear modification factor of protons ($p+pbar$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_17.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X | P P --> P X | P P --> PBAR X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0-5
#: RE (PBPB),,,PB PB --> P X, PB PB --> PBAR X
#: RE (PP),,,P P --> P X, P P --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,RAA,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.05825,0.00092008,-0.00092008,0.0068548,-0.0068548
0.375,0.35,0.4,0.062038,0.0007884,-0.0007884,0.0064737,-0.0064737
0.42500000000000004,0.4,0.45,0.067887,0.00074169,-0.00074169,0.0063346,-0.0063346
0.475,0.45,0.5,0.070001,0.00037975,-0.00037975,0.0051694,-0.0051694
0.525,0.5,0.55,0.076547,0.00077967,-0.00077967,0.0049935,-0.0049935
0.575,0.55,0.6,0.085814,0.00081613,-0.00081613,0.0051148,-0.0051148
0.625,0.6,0.65,0.089227,0.00089995,-0.00089995,0.0075144,-0.0075144
0.675,0.65,0.7,0.095075,0.00048456,-0.00048456,0.010637,-0.010637
0.725,0.7,0.75,0.1096,0.00056693,-0.00056693,0.01488,-0.01488
0.775,0.75,0.8,0.12066,0.00065258,-0.00065258,0.021334,-0.021334
0.825,0.8,0.85,0.12111,0.00060683,-0.00060683,0.0070437,-0.0070437
0.875,0.85,0.9,0.13224,0.00067425,-0.00067425,0.0072002,-0.0072002
0.925,0.9,0.95,0.15188,0.00078584,-0.00078584,0.0080946,-0.0080946
0.975,0.95,1.0,0.16079,0.00087404,-0.00087404,0.0087356,-0.0087356
1.05,1.0,1.1,0.1829,0.00073495,-0.00073495,0.0093464,-0.0093464
1.15,1.1,1.2,0.2205,0.00094105,-0.00094105,0.011455,-0.011455
1.25,1.2,1.3,0.26584,0.0012279,-0.0012279,0.013938,-0.013938
1.35,1.3,1.4,0.31707,0.0015737,-0.0015737,0.017378,-0.017378
1.45,1.4,1.5,0.36108,0.001907,-0.001907,0.019184,-0.019184
1.55,1.5,1.6,0.40615,0.00261,-0.00261,0.02019,-0.02019
1.65,1.6,1.7,0.46353,0.0030893,-0.0030893,0.022594,-0.022594
1.75,1.7,1.8,0.50899,0.00356,-0.00356,0.024178,-0.024178
1.85,1.8,1.9,0.55643,0.0041162,-0.0041162,0.026599,-0.026599
1.95,1.9,2.0,0.59282,0.0046168,-0.0046168,0.028283,-0.028283
2.1,2.0,2.2,0.65759,0.0045588,-0.0045588,0.032588,-0.032588
2.3,2.2,2.4,0.71921,0.0052765,-0.0052765,0.035554,-0.035554
2.5,2.4,2.6,0.74127,0.0066336,-0.0066336,0.034818,-0.034818
2.7,2.6,2.8,0.75955,0.0076499,-0.0076499,0.035303,-0.035303
2.9,2.8,3.0,0.75246,0.008506,-0.008506,0.035586,-0.035586
3.1,3.0,3.2,0.72153,0.0098448,-0.0098448,0.034652,-0.034652
3.3,3.2,3.4,0.66581,0.012045,-0.012045,0.034616,-0.034616
3.5,3.4,3.6,0.62251,0.015542,-0.015542,0.037111,-0.037111
3.7,3.6,3.8,0.57329,0.01647,-0.01647,0.038861,-0.038861
3.9,3.8,4.0,0.56287,0.016835,-0.016835,0.037617,-0.037617
4.25,4.0,4.5,0.48671,0.019712,-0.019712,0.036108,-0.036108
4.75,4.5,5.0,0.403,0.021547,-0.021547,0.036132,-0.036132
5.25,5.0,5.5,0.32364,0.019045,-0.019045,0.031135,-0.031135
5.75,5.5,6.0,0.26701,0.01853,-0.01853,0.027029,-0.027029
6.5,6.0,7.0,0.21235,0.0054651,-0.0054651,0.022061,-0.022061
7.5,7.0,8.0,0.1689,0.0069944,-0.0069944,0.024338,-0.024338
9.0,8.0,10.0,0.1583,0.0074353,-0.0074353,0.017613,-0.017613
11.0,10.0,12.0,0.1415,0.011334,-0.011334,0.015714,-0.015714
13.5,12.0,15.0,0.21338,0.02651,-0.02651,0.019566,-0.019566
17.5,15.0,20.0,0.1763,0.0303,-0.0303,0.016155,-0.016155

#: CENTRALITY [pct],,,5-10
#: RE (PBPB),,,PB PB --> P X, PB PB --> PBAR X
#: RE (PP),,,P P --> P X, P P --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,RAA,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.058902,0.0013316,-0.0013316,0.0069882,-0.0069882
0.375,0.35,0.4,0.068299,0.0012493,-0.0012493,0.0072065,-0.0072065
0.42500000000000004,0.4,0.45,0.071906,0.0010899,-0.0010899,0.0068042,-0.0068042
0.475,0.45,0.5,0.07588,0.00039569,-0.00039569,0.0046381,-0.0046381
0.525,0.5,0.55,0.082289,0.00084764,-0.00084764,0.0046331,-0.0046331
0.575,0.55,0.6,0.091113,0.00089414,-0.00089414,0.0048525,-0.0048525
0.625,0.6,0.65,0.095412,0.00098287,-0.00098287,0.0064277,-0.0064277
0.675,0.65,0.7,0.10126,0.00055996,-0.00055996,0.0098547,-0.0098547
0.725,0.7,0.75,0.11592,0.00065158,-0.00065158,0.014486,-0.014486
0.775,0.75,0.8,0.12649,0.00074364,-0.00074364,0.021846,-0.021846
0.825,0.8,0.85,0.12746,0.00078475,-0.00078475,0.0074399,-0.0074399
0.875,0.85,0.9,0.14373,0.00090057,-0.00090057,0.0077694,-0.0077694
0.925,0.9,0.95,0.16231,0.0010389,-0.0010389,0.0086185,-0.0086185
0.975,0.95,1.0,0.17355,0.0011747,-0.0011747,0.0093978,-0.0093978
1.05,1.0,1.1,0.19636,0.0009879,-0.0009879,0.0099966,-0.0099966
1.15,1.1,1.2,0.23692,0.0012836,-0.0012836,0.012256,-0.012256
1.25,1.2,1.3,0.28126,0.0016461,-0.0016461,0.014691,-0.014691
1.35,1.3,1.4,0.33469,0.0021183,-0.0021183,0.018268,-0.018268
1.45,1.4,1.5,0.38219,0.002597,-0.002597,0.020212,-0.020212
1.55,1.5,1.6,0.42928,0.0033003,-0.0033003,0.021102,-0.021102
1.65,1.6,1.7,0.48206,0.0038583,-0.0038583,0.023402,-0.023402
1.75,1.7,1.8,0.52904,0.0044292,-0.0044292,0.025029,-0.025029
1.85,1.8,1.9,0.5715,0.0050512,-0.0050512,0.027043,-0.027043
1.95,1.9,2.0,0.61882,0.0057716,-0.0057716,0.029473,-0.029473
2.1,2.0,2.2,0.67144,0.005312,-0.005312,0.033131,-0.033131
2.3,2.2,2.4,0.73157,0.0062771,-0.0062771,0.036169,-0.036169
2.5,2.4,2.6,0.76,0.0077267,-0.0077267,0.035708,-0.035708
2.7,2.6,2.8,0.76551,0.0087046,-0.0087046,0.035524,-0.035524
2.9,2.8,3.0,0.75668,0.0097869,-0.0097869,0.036,-0.036
3.1,3.0,3.2,0.72836,0.011136,-0.011136,0.034984,-0.034984
3.3,3.2,3.4,0.68826,0.013542,-0.013542,0.035225,-0.035225
3.5,3.4,3.6,0.63629,0.016755,-0.016755,0.037577,-0.037577
3.7,3.6,3.8,0.60969,0.018391,-0.018391,0.041354,-0.041354
3.9,3.8,4.0,0.56915,0.017861,-0.017861,0.03824,-0.03824
4.25,4.0,4.5,0.49583,0.02047,-0.02047,0.036997,-0.036997
4.75,4.5,5.0,0.41297,0.02247,-0.02247,0.037718,-0.037718
5.25,5.0,5.5,0.3293,0.019834,-0.019834,0.032212,-0.032212
5.75,5.5,6.0,0.29044,0.020623,-0.020623,0.029773,-0.029773
6.5,6.0,7.0,0.23008,0.0059906,-0.0059906,0.023988,-0.023988
7.5,7.0,8.0,0.17978,0.0075383,-0.0075383,0.025852,-0.025852
9.0,8.0,10.0,0.16397,0.0077975,-0.0077975,0.018333,-0.018333
11.0,10.0,12.0,0.13505,0.011036,-0.011036,0.015018,-0.015018
13.5,12.0,15.0,0.19864,0.025061,-0.025061,0.018216,-0.018216
17.5,15.0,20.0,0.17216,0.030145,-0.030145,0.015915,-0.015915

#: CENTRALITY [pct],,,10-20
#: RE (PBPB),,,PB PB --> P X, PB PB --> PBAR X
#: RE (PP),,,P P --> P X, P P --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,RAA,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.06995,0.0012453,-0.0012453,0.0081869,-0.0081869
0.375,0.35,0.4,0.075063,0.0011011,-0.0011011,0.0077716,-0.0077716
0.42500000000000004,0.4,0.45,0.081951,0.0010264,-0.0010264,0.0075781,-0.0075781
0.475,0.45,0.5,0.083408,0.00039044,-0.00039044,0.0050902,-0.0050902
0.525,0.5,0.55,0.091279,0.00090357,-0.00090357,0.0049511,-0.0049511
0.575,0.55,0.6,0.10156,0.00092521,-0.00092521,0.0049229,-0.0049229
0.625,0.6,0.65,0.10674,0.0010867,-0.0010867,0.0059968,-0.0059968
0.675,0.65,0.7,0.11264,0.00059551,-0.00059551,0.0098839,-0.0098839
0.725,0.7,0.75,0.13003,0.00069847,-0.00069847,0.014519,-0.014519
0.775,0.75,0.8,0.13898,0.00077974,-0.00077974,0.024541,-0.024541
0.825,0.8,0.85,0.14496,0.00073773,-0.00073773,0.008433,-0.008433
0.875,0.85,0.9,0.16132,0.00083333,-0.00083333,0.0086664,-0.0086664
0.925,0.9,0.95,0.18416,0.00097822,-0.00097822,0.0097116,-0.0097116
0.975,0.95,1.0,0.19527,0.0011019,-0.0011019,0.010535,-0.010535
1.05,1.0,1.1,0.21957,0.00092866,-0.00092866,0.011141,-0.011141
1.15,1.1,1.2,0.26499,0.001211,-0.001211,0.01364,-0.01364
1.25,1.2,1.3,0.3101,0.0015353,-0.0015353,0.016106,-0.016106
1.35,1.3,1.4,0.36885,0.0019824,-0.0019824,0.020009,-0.020009
1.45,1.4,1.5,0.41619,0.0024025,-0.0024025,0.022,-0.022
1.55,1.5,1.6,0.46297,0.0031339,-0.0031339,0.022692,-0.022692
1.65,1.6,1.7,0.51958,0.0036558,-0.0036558,0.02494,-0.02494
1.75,1.7,1.8,0.57299,0.0042361,-0.0042361,0.026978,-0.026978
1.85,1.8,1.9,0.61344,0.0047955,-0.0047955,0.028986,-0.028986
1.95,1.9,2.0,0.65388,0.0053949,-0.0053949,0.030873,-0.030873
2.1,2.0,2.2,0.71648,0.0051674,-0.0051674,0.03511,-0.03511
2.3,2.2,2.4,0.76153,0.0058762,-0.0058762,0.037219,-0.037219
2.5,2.4,2.6,0.79304,0.0073696,-0.0073696,0.036598,-0.036598
2.7,2.6,2.8,0.78455,0.0081829,-0.0081829,0.036277,-0.036277
2.9,2.8,3.0,0.78567,0.0092399,-0.0092399,0.036934,-0.036934
3.1,3.0,3.2,0.76191,0.010758,-0.010758,0.036757,-0.036757
3.3,3.2,3.4,0.72391,0.013495,-0.013495,0.037712,-0.037712
3.5,3.4,3.6,0.66091,0.016711,-0.016711,0.039285,-0.039285
3.7,3.6,3.8,0.62113,0.018081,-0.018081,0.042397,-0.042397
3.9,3.8,4.0,0.61208,0.018549,-0.018549,0.041288,-0.041288
4.25,4.0,4.5,0.55166,0.022418,-0.022418,0.041316,-0.041316
4.75,4.5,5.0,0.46144,0.024757,-0.024757,0.042629,-0.042629
5.25,5.0,5.5,0.37687,0.022255,-0.022255,0.037185,-0.037185
5.75,5.5,6.0,0.32548,0.022639,-0.022639,0.033691,-0.033691
6.5,6.0,7.0,0.26315,0.0067594,-0.0067594,0.027495,-0.027495
7.5,7.0,8.0,0.21027,0.0086507,-0.0086507,0.030357,-0.030357
9.0,8.0,10.0,0.19046,0.0088542,-0.0088542,0.021261,-0.021261
11.0,10.0,12.0,0.16524,0.013071,-0.013071,0.018449,-0.018449
13.5,12.0,15.0,0.22906,0.028256,-0.028256,0.021191,-0.021191
17.5,15.0,20.0,0.18687,0.03182,-0.03182,0.01723,-0.01723

#: CENTRALITY [pct],,,20-40
#: RE (PBPB),,,PB PB --> P X, PB PB --> PBAR X
#: RE (PP),,,P P --> P X, P P --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,RAA,stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.093587,0.0014987,-0.0014987,0.0090336,-0.0090336
0.375,0.35,0.4,0.10173,0.0013172,-0.0013172,0.0085522,-0.0085522
0.42500000000000004,0.4,0.45,0.10954,0.0012147,-0.0012147,0.008245,-0.008245
0.475,0.45,0.5,0.11447,0.00050136,-0.00050136,0.0062328,-0.0062328
0.525,0.5,0.55,0.12326,0.0012054,-0.0012054,0.0059445,-0.0059445
0.575,0.55,0.6,0.13442,0.0012026,-0.0012026,0.0056402,-0.0056402
0.625,0.6,0.65,0.1407,0.0014286,-0.0014286,0.0063697,-0.0063697
0.675,0.65,0.7,0.1473,0.00077051,-0.00077051,0.0099532,-0.0099532
0.725,0.7,0.75,0.16766,0.00089096,-0.00089096,0.013249,-0.013249
0.775,0.75,0.8,0.18034,0.0010001,-0.0010001,0.018943,-0.018943
0.825,0.8,0.85,0.19294,0.00090372,-0.00090372,0.0097629,-0.0097629
0.875,0.85,0.9,0.20894,0.0010108,-0.0010108,0.0098527,-0.0098527
0.925,0.9,0.95,0.23777,0.0011639,-0.0011639,0.010951,-0.010951
0.975,0.95,1.0,0.2523,0.0013328,-0.0013328,0.011882,-0.011882
1.05,1.0,1.1,0.28052,0.0011149,-0.0011149,0.012516,-0.012516
1.15,1.1,1.2,0.33344,0.0014367,-0.0014367,0.015069,-0.015069
1.25,1.2,1.3,0.38776,0.0018205,-0.0018205,0.017467,-0.017467
1.35,1.3,1.4,0.44528,0.0022753,-0.0022753,0.020978,-0.020978
1.45,1.4,1.5,0.49968,0.0027526,-0.0027526,0.02272,-0.02272
1.55,1.5,1.6,0.54525,0.0035562,-0.0035562,0.022687,-0.022687
1.65,1.6,1.7,0.60324,0.0041016,-0.0041016,0.02465,-0.02465
1.75,1.7,1.8,0.64589,0.0046063,-0.0046063,0.025713,-0.025713
1.85,1.8,1.9,0.69623,0.0052907,-0.0052907,0.02784,-0.02784
1.95,1.9,2.0,0.73107,0.0058519,-0.0058519,0.029059,-0.029059
2.1,2.0,2.2,0.78203,0.0055194,-0.0055194,0.032999,-0.032999
2.3,2.2,2.4,0.82489,0.0062075,-0.0062075,0.035131,-0.035131
2.5,2.4,2.6,0.84301,0.0076885,-0.0076885,0.034285,-0.034285
2.7,2.6,2.8,0.85163,0.0087561,-0.0087561,0.034396,-0.034396
2.9,2.8,3.0,0.83734,0.0096786,-0.0096786,0.03484,-0.03484
3.1,3.0,3.2,0.81033,0.01128,-0.01128,0.034859,-0.034859
3.3,3.2,3.4,0.76383,0.014071,-0.014071,0.036627,-0.036627
3.5,3.4,3.6,0.71293,0.017929,-0.017929,0.040331,-0.040331
3.7,3.6,3.8,0.67441,0.019496,-0.019496,0.042289,-0.042289
3.9,3.8,4.0,0.67389,0.020282,-0.020282,0.041405,-0.041405
4.25,4.0,4.5,0.6087,0.024669,-0.024669,0.042064,-0.042064
4.75,4.5,5.0,0.53461,0.028586,-0.028586,0.045413,-0.045413
5.25,5.0,5.5,0.44358,0.026105,-0.026105,0.040552,-0.040552
5.75,5.5,6.0,0.38409,0.026697,-0.026697,0.036792,-0.036792
6.5,6.0,7.0,0.31826,0.0082735,-0.0082735,0.030095,-0.030095
7.5,7.0,8.0,0.26377,0.010912,-0.010912,0.034492,-0.034492
9.0,8.0,10.0,0.25296,0.011712,-0.011712,0.025846,-0.025846
11.0,10.0,12.0,0.21821,0.017096,-0.017096,0.022356,-0.022356
13.5,12.0,15.0,0.30224,0.036954,-0.036954,0.025458,-0.025458
17.5,15.0,20.0,0.25338,0.042446,-0.042446,0.021517,-0.021517

#: CENTRALITY [pct],,,40-60
#: RE (PBPB),,,PB PB --> P X, PB PB --> PBAR X
#: RE (PP),,,P P --> P X, P P --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
