#: table_doi: 10.17182/hepdata.104923.v1/t4
#: name: Table 4
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$) measured in pp collisions at $\sqrt{s}$ = 5.02 TeV.
#: data_file: table_4.yaml
#: keyword reactions: P P --> K+ X | P P --> K- X
#: keyword observables: DN/DPT
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: RE,,,P P --> K+ X, P P --> K- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,0.51568,0.00080657,-0.00080657,0.023802,-0.023802
0.275,0.25,0.3,0.5593,0.00065253,-0.00065253,0.024019,-0.024019
0.32499999999999996,0.3,0.35,0.59112,0.0016426,-0.0016426,0.015955,-0.015955
0.375,0.35,0.4,0.60224,0.0015274,-0.0015274,0.012826,-0.012826
0.42500000000000004,0.4,0.45,0.5869,0.0014041,-0.0014041,0.011192,-0.011192
0.475,0.45,0.5,0.57798,0.0083174,-0.0083174,0.020625,-0.020625
0.525,0.5,0.55,0.54549,0.0092601,-0.0092601,0.021137,-0.021137
0.575,0.55,0.6,0.51411,0.012247,-0.012247,0.023625,-0.023625
0.625,0.6,0.65,0.47246,0.019924,-0.019924,0.028668,-0.028668
0.675,0.65,0.7,0.42735,0.0030602,-0.0030602,0.010367,-0.010367
0.725,0.7,0.75,0.384,0.0024923,-0.0024923,0.0088397,-0.0088397
0.775,0.75,0.8,0.34841,0.0020981,-0.0020981,0.007632,-0.007632
0.825,0.8,0.85,0.31736,0.0019195,-0.0019195,0.0069163,-0.0069163
0.875,0.85,0.9,0.28837,0.0017446,-0.0017446,0.0062002,-0.0062002
0.925,0.9,0.95,0.25961,0.0015909,-0.0015909,0.0055925,-0.0055925
0.975,0.95,1.0,0.23219,0.001439,-0.001439,0.0049711,-0.0049711
1.05,1.0,1.1,0.1985,0.0011015,-0.0011015,0.0042194,-0.0042194
1.15,1.1,1.2,0.16249,0.0008998,-0.0008998,0.0033849,-0.0033849
1.25,1.2,1.3,0.13269,0.0008134,-0.0008134,0.0028729,-0.0028729
1.35,1.3,1.4,0.10961,0.00067058,-0.00067058,0.0023412,-0.0023412
1.45,1.4,1.5,0.090705,0.00052204,-0.00052204,0.0018101,-0.0018101
1.55,1.5,1.6,0.076391,0.00048652,-0.00048652,0.0015257,-0.0015257
1.65,1.6,1.7,0.063961,0.00041419,-0.00041419,0.001255,-0.001255
1.75,1.7,1.8,0.053464,0.0005304,-0.0005304,0.001343,-0.001343
1.85,1.8,1.9,0.045386,0.00064914,-0.00064914,0.0014144,-0.0014144
1.95,1.9,2.0,0.037751,0.00067277,-0.00067277,0.0013045,-0.0013045
2.1,2.0,2.2,0.028729,0.00057405,-0.00057405,0.0011411,-0.0011411
2.3,2.2,2.4,0.020563,0.00048974,-0.00048974,0.000897,-0.000897
2.5,2.4,2.6,0.014631,0.00035623,-0.00035623,0.00061022,-0.00061022
2.7,2.6,2.8,0.010764,0.00028068,-0.00028068,0.00045366,-0.00045366
2.9,2.8,3.0,0.0079173,0.00023113,-0.00023113,0.00035523,-0.00035523
3.1,3.0,3.2,0.0058669,0.00015369,-0.00015369,0.00030367,-0.00030367
3.3,3.2,3.4,0.0044239,0.00012063,-0.00012063,0.00024061,-0.00024061
3.5,3.4,3.6,0.003417,9.5916e-05,-9.5916e-05,0.00020466,-0.00020466
3.7,3.6,3.8,0.0026276,7.1774e-05,-7.1774e-05,0.00016301,-0.00016301
3.9,3.8,4.0,0.0020607,5.3989e-05,-5.3989e-05,0.00013189,-0.00013189
4.25,4.0,4.5,0.0014294,1.3245e-05,-1.3245e-05,9.3738e-05,-9.3738e-05
4.75,4.5,5.0,0.00082758,9.8267e-06,-9.8267e-06,4.913e-05,-4.913e-05
5.25,5.0,5.5,0.00050668,7.6432e-06,-7.6432e-06,2.8067e-05,-2.8067e-05
5.75,5.5,6.0,0.00032519,6.0262e-06,-6.0262e-06,1.6793e-05,-1.6793e-05
6.25,6.0,6.5,0.0002123,4.6342e-06,-4.6342e-06,1.0574e-05,-1.0574e-05
6.75,6.5,7.0,0.00014632,3.8899e-06,-3.8899e-06,6.985e-06,-6.985e-06
7.5,7.0,8.0,8.5525e-05,2.1914e-06,-2.1914e-06,4.1239e-06,-4.1239e-06
8.5,8.0,9.0,4.7108e-05,1.6803e-06,-1.6803e-06,3.9418e-06,-3.9418e-06
9.5,9.0,10.0,2.6202e-05,1.2284e-06,-1.2284e-06,2.2015e-06,-2.2015e-06
10.5,10.0,11.0,1.5844e-05,9.2809e-07,-9.2809e-07,1.3658e-06,-1.3658e-06
11.5,11.0,12.0,1.0623e-05,7.7337e-07,-7.7337e-07,9.2029e-07,-9.2029e-07
12.5,12.0,13.0,6.7132e-06,6.5568e-07,-6.5568e-07,5.8591e-07,-5.8591e-07
13.5,13.0,14.0,4.426e-06,5.5163e-07,-5.5163e-07,3.884e-07,-3.884e-07
14.5,14.0,15.0,3.1718e-06,4.6202e-07,-4.6202e-07,2.8032e-07,-2.8032e-07
15.5,15.0,16.0,2.1966e-06,3.4371e-07,-3.4371e-07,1.9563e-07,-1.9563e-07
17.0,16.0,18.0,1.5121e-06,2.2042e-07,-2.2042e-07,1.3672e-07,-1.3672e-07
19.0,18.0,20.0,8.4518e-07,1.8536e-07,-1.8536e-07,7.7673e-08,-7.7673e-08

