#: table_doi: 10.17182/hepdata.104923.v1/t6
#: name: Table 6
#: description: $p_{T}$-distributions of protons ($p+pbar$) measured in pp collisions at $\sqrt{s}$ = 5.02 TeV.
#: data_file: table_6.yaml
#: keyword reactions: P P --> P X | P P --> PBAR X
#: keyword observables: DN/DPT
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: RE,,,P P --> P X, P P --> PBAR X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,(1/Nev)*D2(N)/DPT/DYRAP [$(GeV/c)^{-1}$],stat. +,stat. -,syst. +,syst. -
0.32499999999999996,0.3,0.35,0.19115,0.00067434,-0.00067434,0.013144,-0.013144
0.375,0.35,0.4,0.20174,0.00058526,-0.00058526,0.011445,-0.011445
0.42500000000000004,0.4,0.45,0.21497,0.00054121,-0.00054121,0.010861,-0.010861
0.475,0.45,0.5,0.21553,0.00066587,-0.00066587,0.010292,-0.010292
0.525,0.5,0.55,0.21511,0.0019938,-0.0019938,0.0098451,-0.0098451
0.575,0.55,0.6,0.20869,0.0017424,-0.0017424,0.008006,-0.008006
0.625,0.6,0.65,0.20239,0.0020091,-0.0020091,0.0074119,-0.0074119
0.675,0.65,0.7,0.19791,0.00094028,-0.00094028,0.0093239,-0.0093239
0.725,0.7,0.75,0.17948,0.00086402,-0.00086402,0.0068367,-0.0068367
0.775,0.75,0.8,0.17333,0.00086827,-0.00086827,0.0057235,-0.0057235
0.825,0.8,0.85,0.16054,0.00037882,-0.00037882,0.0068446,-0.0068446
0.875,0.85,0.9,0.15442,0.00038813,-0.00038813,0.0061821,-0.0061821
0.925,0.9,0.95,0.14074,0.00033375,-0.00033375,0.0054324,-0.0054324
0.975,0.95,1.0,0.13461,0.00036841,-0.00036841,0.0053831,-0.0053831
1.05,1.0,1.1,0.11823,0.00024543,-0.00024543,0.0045129,-0.0045129
1.15,1.1,1.2,0.10013,0.00022598,-0.00022598,0.0038272,-0.0038272
1.25,1.2,1.3,0.084304,0.00021076,-0.00021076,0.0031916,-0.0031916
1.35,1.3,1.4,0.069774,0.00019116,-0.00019116,0.0027178,-0.0027178
1.45,1.4,1.5,0.058371,0.00017401,-0.00017401,0.0021824,-0.0021824
1.55,1.5,1.6,0.04904,0.00022744,-0.00022744,0.0016385,-0.0016385
1.65,1.6,1.7,0.04076,0.00019456,-0.00019456,0.001336,-0.001336
1.75,1.7,1.8,0.034204,0.0001713,-0.0001713,0.0010992,-0.0010992
1.85,1.8,1.9,0.028598,0.00015351,-0.00015351,0.00091698,-0.00091698
1.95,1.9,2.0,0.02377,0.00013537,-0.00013537,0.00075602,-0.00075602
2.1,2.0,2.2,0.018244,0.00010175,-0.00010175,0.00064349,-0.00064349
2.3,2.2,2.4,0.012914,7.3447e-05,-7.3447e-05,0.00046413,-0.00046413
2.5,2.4,2.6,0.0091879,6.7508e-05,-6.7508e-05,0.0003188,-0.0003188
2.7,2.6,2.8,0.0066386,5.4758e-05,-5.4758e-05,0.00023014,-0.00023014
2.9,2.8,3.0,0.004812,4.4211e-05,-4.4211e-05,0.00017331,-0.00017331
3.1,3.0,3.2,0.0035565,4.0866e-05,-4.0866e-05,0.00013522,-0.00013522
3.3,3.2,3.4,0.0026773,4.3205e-05,-4.3205e-05,0.00011805,-0.00011805
