#: table_doi: 10.17182/hepdata.104923.v1/t7
#: name: Table 7
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$)/pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_7.yaml
#: keyword reactions: PB PB --> K+ X | PB PB --> K- X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE(K+ + K-),,,PB PB --> K+ X, PB PB --> K- X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.225,0.2,0.25,0.062926,0.00048678,-0.00048678,0.0046449,-0.0046449,0.0017323,-0.0017323
0.275,0.25,0.3,0.074881,0.00040071,-0.00040071,0.0046873,-0.0046873,0.0019897,-0.0019897
0.32499999999999996,0.3,0.35,0.078272,0.00011603,-0.00011603,0.0038203,-0.0038203,0.0038203,-0.0038203
0.375,0.35,0.4,0.087932,0.0001184,-0.0001184,0.023656,-0.023656,0.023656,-0.023656
0.42500000000000004,0.4,0.45,0.099081,0.00013034,-0.00013034,0.033024,-0.033024,0.033024,-0.033024
0.475,0.45,0.5,0.13142,0.00076886,-0.00076886,0.0051327,-0.0051327,0.0018617,-0.0018617
0.525,0.5,0.55,0.15428,0.001056,-0.001056,0.00711,-0.00711,0.0023569,-0.0023569
0.575,0.55,0.6,0.17246,0.0012338,-0.0012338,0.0087804,-0.0087804,0.0026372,-0.0026372
0.625,0.6,0.65,0.18961,0.0014479,-0.0014479,0.011142,-0.011142,0.0030357,-0.0030357
0.675,0.65,0.7,0.19374,0.00069275,-0.00069275,0.0047691,-0.0047691,0.0015234,-0.0015234
0.725,0.7,0.75,0.20943,0.000771,-0.000771,0.0054109,-0.0054109,0.0017314,-0.0017314
0.775,0.75,0.8,0.22888,0.00087552,-0.00087552,0.0072505,-0.0072505,0.0019214,-0.0019214
0.825,0.8,0.85,0.24886,0.00098339,-0.00098339,0.0080427,-0.0080427,0.0022081,-0.0022081
0.875,0.85,0.9,0.26851,0.0011155,-0.0011155,0.0029335,-0.0029335,0.0027068,-0.0027068
0.925,0.9,0.95,0.28143,0.0012265,-0.0012265,0.004919,-0.004919,0.0032968,-0.0032968
0.975,0.95,1.0,0.29597,0.0013449,-0.0013449,0.004511,-0.004511,0.0038085,-0.0038085
1.05,1.0,1.1,0.31431,0.0010685,-0.0010685,0.0057056,-0.0057056,0.0041376,-0.0041376
1.15,1.1,1.2,0.35274,0.0013031,-0.0013031,0.0080149,-0.0080149,0.0046563,-0.0046563
1.25,1.2,1.3,0.36138,0.0030419,-0.0030419,0.030839,-0.030839,0.0047971,-0.0047971
1.35,1.3,1.4,0.38478,0.0016752,-0.0016752,0.044117,-0.044117,0.0051219,-0.0051219
