#: table_doi: 10.17182/hepdata.104923.v1/t8
#: name: Table 8
#: description: $p_{T}$-distributions of kaons ($K^{+}+K^{-}$)/pions ($\pi^{+}+\pi^{-}$) measured in pp collisions at $\sqrt{s}$ = 5.02 TeV.
#: data_file: table_8.yaml
#: keyword reactions: P P --> K+ X | P P --> K- X | P P --> PI+ X | P P --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: RE(K+ + K-),,,P P --> K+ X, P P --> K- X
#: RE(PI+ + PI-),,,P P --> PI+ X, P P --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(K^{+}+K^{-})/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -
0.225,0.2,0.25,0.068862,0.00010971,-0.00010971,0.0033985,-0.0033985
0.275,0.25,0.3,0.083202,0.00010036,-0.00010036,0.0040214,-0.0040214
0.32499999999999996,0.3,0.35,0.095213,0.00028251,-0.00028251,0.002043,-0.002043
0.375,0.35,0.4,0.11287,0.000275,-0.000275,0.0028703,-0.0028703
0.42500000000000004,0.4,0.45,0.12939,0.00026848,-0.00026848,0.00359,-0.00359
0.475,0.45,0.5,0.15305,0.00011617,-0.00011617,0.0066155,-0.0066155
0.525,0.5,0.55,0.16941,0.00030128,-0.00030128,0.0042688,-0.0042688
0.575,0.55,0.6,0.1806,0.00036317,-0.00036317,0.002358,-0.002358
0.625,0.6,0.65,0.19088,0.00039237,-0.00039237,0.001733,-0.001733
0.675,0.65,0.7,0.20271,0.0004227,-0.0004227,0.0018772,-0.0018772
0.725,0.7,0.75,0.21351,0.00046271,-0.00046271,0.00092638,-0.00092638
0.775,0.75,0.8,0.22547,0.00051361,-0.00051361,0.0010821,-0.0010821
0.825,0.8,0.85,0.23751,0.00057111,-0.00057111,0.0012621,-0.0012621
0.875,0.85,0.9,0.24886,0.00063314,-0.00063314,0.0031577,-0.0031577
0.925,0.9,0.95,0.25721,0.00069034,-0.00069034,0.003813,-0.003813
0.975,0.95,1.0,0.26451,0.00074896,-0.00074896,0.0021001,-0.0021001
1.05,1.0,1.1,0.27569,0.00059124,-0.00059124,0.0016301,-0.0016301
1.15,1.1,1.2,0.29223,0.00068714,-0.00068714,0.001231,-0.001231
1.25,1.2,1.3,0.30704,0.00078743,-0.00078743,0.0040245,-0.0040245
1.35,1.3,1.4,0.32416,0.00090749,-0.00090749,0.0050602,-0.0050602
1.45,1.4,1.5,0.33796,0.0010271,-0.0010271,0.0079112,-0.0079112
1.55,1.5,1.6,0.35028,0.0015819,-0.0015819,0.0083634,-0.0083634
1.65,1.6,1.7,0.36369,0.0019475,-0.0019475,0.010323,-0.010323
1.75,1.7,1.8,0.37321,0.0023796,-0.0023796,0.012036,-0.012036
1.85,1.8,1.9,0.38268,0.0027954,-0.0027954,0.013284,-0.013284
1.95,1.9,2.0,0.39121,0.003336,-0.003336,0.014931,-0.014931
2.1,2.0,2.2,0.38968,0.0032583,-0.0032583,0.012787,-0.012787
2.3,2.2,2.4,0.39567,0.0040216,-0.0040216,0.013355,-0.013355
2.5,2.4,2.6,0.399,0.0048402,-0.0048402,0.013622,-0.013622
2.7,2.6,2.8,0.3988,0.0056434,-0.0056434,0.013689,-0.013689
2.9,2.8,3.0,0.40195,0.0066673,-0.0066673,0.013858,-0.013858
3.1,3.0,3.2,0.40872,0.010138,-0.010138,0.019953,-0.019953
3.3,3.2,3.4,0.41493,0.010573,-0.010573,0.024723,-0.024723
3.5,3.4,3.6,0.41419,0.010297,-0.010297,0.025468,-0.025468
3.7,3.6,3.8,0.41413,0.0092869,-0.0092869,0.026567,-0.026567
3.9,3.8,4.0,0.42014,0.009105,-0.009105,0.02669,-0.02669
4.25,4.0,4.5,0.43538,0.0047387,-0.0047387,0.02843,-0.02843
4.75,4.5,5.0,0.44206,0.0062056,-0.0062056,0.025208,-0.025208
5.25,5.0,5.5,0.44492,0.0079593,-0.0079593,0.0211,-0.0211
5.75,5.5,6.0,0.44952,0.0099532,-0.0099532,0.021696,-0.021696
6.25,6.0,6.5,0.45591,0.012024,-0.012024,0.021781,-0.021781
6.75,6.5,7.0,0.45806,0.014694,-0.014694,0.022225,-0.022225
7.5,7.0,8.0,0.44921,0.013763,-0.013763,0.02403,-0.02403
8.5,8.0,9.0,0.47199,0.020104,-0.020104,0.037759,-0.037759
9.5,9.0,10.0,0.4725,0.02643,-0.02643,0.0378,-0.0378
10.5,10.0,11.0,0.4809,0.034108,-0.034108,0.038472,-0.038472
11.5,11.0,12.0,0.49929,0.044085,-0.044085,0.039943,-0.039943
12.5,12.0,13.0,0.50455,0.058126,-0.058126,0.040364,-0.040364
13.5,13.0,14.0,0.4775,0.070313,-0.070313,0.0382,-0.0382
14.5,14.0,15.0,0.47763,0.08196,-0.08196,0.03821,-0.03821
15.5,15.0,16.0,0.51312,0.099635,-0.099635,0.04105,-0.04105
17.0,16.0,18.0,0.5301,0.092402,-0.092402,0.042408,-0.042408
19.0,18.0,20.0,0.51245,0.136,-0.136,0.040996,-0.040996

