#: table_doi: 10.17182/hepdata.104923.v1/t9
#: name: Table 9
#: description: $p_{T}$-distributions of protons ($p+pbar$)/pions ($\pi^{+}+\pi^{-}$) measured in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV.
#: data_file: table_9.yaml
#: keyword reactions: PB PB --> P X | PB PB --> PBAR X | PB PB --> PI+ X | PB PB --> PI- X
#: keyword observables: RATIO
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Differential Distribution | Transverse Momentum Dependence
#: CENTRALITY [pct],,,0.0-5.0
#: RE(P + PBAR),,,PB PB --> P X, PB PB --> PBAR X
#: RE(PI+ + PI-),,,PB PB --> PI+ X, PB PB --> PI- X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: YRAP,,,-0.5-0.5
$p_{T}$ [$GeV/c$],$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,$(p+pbar)/(\pi^{+}+\pi^{-})$,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -
0.32499999999999996,0.3,0.35,0.0085127,0.00013148,-0.00013148,0.0008382,-0.0008382,0.000287,-0.000287
0.375,0.35,0.4,0.010352,0.00012859,-0.00012859,0.00093616,-0.00093616,0.00034298,-0.00034298
0.42500000000000004,0.4,0.45,0.013281,0.00014203,-0.00014203,0.0010862,-0.0010862,0.00044044,-0.00044044
0.475,0.45,0.5,0.014384,2.728e-05,-2.728e-05,0.0017172,-0.0017172,0.0017172,-0.0017172
0.525,0.5,0.55,0.017675,3.2429e-05,-3.2429e-05,0.0018797,-0.0018797,0.0018797,-0.0018797
0.575,0.55,0.6,0.021483,3.896e-05,-3.896e-05,0.0025281,-0.0025281,0.0025281,-0.0025281
0.625,0.6,0.65,0.025456,4.6828e-05,-4.6828e-05,0.0045065,-0.0045065,0.0045065,-0.0045065
0.675,0.65,0.7,0.030232,5.7762e-05,-5.7762e-05,0.00849,-0.00849,0.00849,-0.00849
0.725,0.7,0.75,0.034994,7.8095e-05,-7.8095e-05,0.0047268,-0.0047268,0.0013542,-0.0013542
0.775,0.75,0.8,0.041402,9.8619e-05,-9.8619e-05,0.0073492,-0.0073492,0.0018824,-0.0018824
0.825,0.8,0.85,0.042612,0.00019946,-0.00019946,0.0018822,-0.0018822,0.0018822,-0.0018822
